response_var,parameter,mean_frac,median_frac,sd_frac,n_sites
NPP,root_allocation_fraction,0.08624519175411208,0.0926680517485583,0.03840135131536834,5
NPP,fine_root_respiration_Q10,0.07279282671620767,0.07043235792316727,0.03150637925182972,10
NPP,root_turnover_rate,0.06693751044971367,0.03555530335657841,0.07444750798006325,10
NPP,leafC,0.059570597693623675,0.06215680042011628,0.026512883183868245,10
NPP,coarse_root_respiration_Q10,0.05853614165706311,0.06397896000809725,0.02481061835131576,10
NPP,root_respiration_rate,0.0508709286624527,0.03156252015017016,0.04705469580943633,10
NPP,growth_resp_factor,0.04906351103343779,0.051363587893017454,0.02177861195986623,10
NPP,leaf_turnover_rate,0.029800379975033386,0.023195804453940726,0.016720218930212374,10
NPP,dVPDSlope,0.029739310411808963,0.023263520261412506,0.020434979102275784,10
NPP,Amax,0.028172103367662814,0.025172055365962172,0.01592839642437923,10
NPP,fracLeafFall,0.02353759092648371,0.0182671392214225,0.014598499854583693,10
NPP,leaf_allocation_fraction,0.01603798798280404,0.01723237052530966,0.007141040542587108,5
NPP,leafWHC,0.013892978092868342,0.014927617258038348,0.006185957984556468,5
TotSoilCarb,Vm_low_temp,0.4395838440818866,0.062210588492956714,1.1081221920755682,10
TotSoilCarb,psnTOpt,0.05877965917743548,0.02540939609530358,0.09753580710860485,10
TotSoilCarb,fine_root_respiration_Q10,0.042915070382735274,0.008284698168691325,0.10523779889717613,10
TotSoilCarb,half_saturation_PAR,0.04242902721340658,0.020401159962555357,0.05087677394160217,10
TotSoilCarb,stem_respiration_rate,0.04066556078893186,0.018857748548135576,0.05399762190610373,10
TotSoilCarb,extinction_coefficient,0.039866655196545156,0.026727422039143946,0.050515184384387665,10
TotSoilCarb,wood_turnover_rate,0.03732060040645372,0.007743556150249997,0.06722020161000243,5
TotSoilCarb,root_respiration_rate,0.0342100691010777,0.008445242166947548,0.07964076553799414,10
TotSoilCarb,leafGrowth,0.03403497580930193,0.02039518721352475,0.038036877262610694,10
TotSoilCarb,leaf_turnover_rate,0.03131453523291997,0.009531624519890996,0.06629623825089866,10
TotSoilCarb,leaf_allocation_fraction,0.030617420748835895,0.006352730507075158,0.05514673325456787,5
TotSoilCarb,growth_resp_factor,0.028587915953521635,0.0128399289202529,0.0420101383273579,10
TotSoilCarb,dVpdExp,0.026457979559150954,0.013423162238712918,0.030052858688955377,10
TotSoilCarb,leaf_respiration_rate_m2,0.025296045604605712,0.014486092547705737,0.0280580169750257,10
TotSoilCarb,coarse_root_respiration_Q10,0.02519336978974679,0.013492138294393106,0.028120541477293124,10
TotSoilCarb,GDD,0.02331499395669369,0.010361619763108875,0.03544376717255499,10
TotSoilCarb,leafWHC,0.02119316386191934,0.004397315492755107,0.03817218190588604,5
TotSoilCarb,AmaxFrac,0.017325144162559692,0.010814818931532298,0.022287176175179405,10
TotSoilCarb,dVPDSlope,0.017091298612301863,0.007941596304755534,0.02255554980183997,10
TotSoilCarb,leafC,0.01694272094494372,0.005073429174524028,0.03656318607940726,10
TotSoilCarb,root_turnover_rate,0.01633131058183935,0.010673191266930651,0.019077764281903303,10
TotSoilCarb,SLA,0.014376353523523367,0.003437842328617829,0.03379268473240227,10
TotSoilCarb,veg_respiration_Q10,0.013961758314399109,0.006755881834389927,0.016493545814199435,10
TotSoilCarb,wueConst,0.012288069220227089,0.002549620127990562,0.022132722447801026,5
TotSoilCarb,fracLeafFall,0.011672714884922046,0.0016379834454104656,0.029444287895480772,10
TotSoilCarb,Amax,0.010730452842429256,0.006041793463135151,0.011899033212518338,10
TotSoilCarb,wood_allocation_fraction,0.009746777768562765,0.0020223340491012723,0.017555461581946593,5
TotSoilCarb,root_allocation_fraction,0.0016655101093855959,3.455724428432869e-4,0.002999842556580007,5
